N,P,K,temperature,humidity,ph,rainfall,label
111,56,49,29.46,90.86,5.96,246.69,Rice
110,57,50,28.57,88.07,6.02,245.81,Rice
111,57,50,28.71,89.13,6.15,242.07,Rice
112,59,48,29.27,87.01,6.16,242.71,Rice
108,54,52,29.13,86.64,6.16,240.02,Rice
111,55,50,29.02,86.71,6.06,248.02,Rice
110,59,49,29.26,90.16,5.85,242.61,Rice
113,57,52,28.7,88.13,6.08,248.5,Rice
112,58,51,28.76,87.35,6.14,243.74,Rice
112,62,53,28.84,89.8,6.06,238.89,Rice
109,54,51,29.01,90.51,6.13,244.34,Rice
113,53,52,29.39,85.78,6.21,246.02,Rice
111,59,56,29.09,88.37,6.05,242.45,Rice
113,56,52,28.76,88.72,6.13,248.11,Rice
110,57,50,28.78,88.57,6.18,242.23,Rice
113,60,52,29.94,86.84,5.98,239.66,Rice
114,59,51,29.14,86.31,6.34,245.39,Rice
112,59,52,29.11,86.81,6.15,250.65,Rice
114,61,50,28.51,87.81,6.11,248.28,Rice
108,61,51,28.79,86.48,5.93,247.47,Rice
112,55,49,28.83,90.5,6.07,240.49,Rice
111,57,46,28.97,87.65,6.17,250.55,Rice
114,57,49,30.29,88.09,6.1,244.93,Rice
112,57,50,28.73,87.95,6.05,242.86,Rice
112,57,55,27.67,89.64,6.22,238.78,Rice
111,57,49,28.61,86.33,6.28,247.81,Rice
114,59,49,28.74,88.73,5.98,247.14,Rice
111,57,53,29.22,87.46,6.22,241.76,Rice
113,59,51,29.16,86.12,6.19,244.45,Rice
110,60,50,28.3,85.67,6.16,241.16,Rice
115,53,55,29.11,87.85,6.05,246.2,Rice
111,60,52,29.08,87.45,6.09,245.92,Rice
108,55,53,29.09,87.72,6.1,246.04,Rice
110,56,52,28.51,88.61,5.93,248.09,Rice
112,58,53,29.83,89.52,5.92,241.16,Rice
110,58,53,28.64,88.28,6.02,243.17,Rice
109,56,49,28.51,89.58,6.01,252.9,Rice
112,58,50,29.35,87.14,6.11,252.68,Rice
111,60,50,28.98,90.66,6.04,250.44,Rice
113,56,53,29.49,88.93,5.94,242.82,Rice
111,57,53,29.09,86.0,6.14,246.83,Rice
113,60,53,29.23,87.89,5.93,246.29,Rice
112,58,49,28.46,89.58,6.1,247.04,Rice
112,58,53,28.74,88.14,6.05,243.7,Rice
111,58,51,29.63,86.66,6.08,243.68,Rice
114,58,54,28.26,88.4,6.19,245.25,Rice
114,56,54,30.15,87.46,6.06,249.36,Rice
115,56,51,28.86,85.98,6.01,241.99,Rice
110,57,52,29.78,86.5,6.2,244.36,Rice
111,59,49,29.19,88.25,6.15,245.87,Rice
116,56,50,28.69,87.17,6.04,248.57,Rice
114,56,50,29.24,87.17,6.16,245.61,Rice
108,61,55,28.69,87.42,6.13,246.0,Rice
113,62,51,28.6,85.93,6.03,244.9,Rice
115,56,52,28.99,89.78,6.35,243.41,Rice
111,60,53,29.92,88.88,6.06,246.77,Rice
114,59,53,29.53,89.75,6.24,246.95,Rice
111,58,54,28.59,88.55,6.06,245.09,Rice
114,58,52,28.32,89.12,6.16,251.49,Rice
111,58,52,29.79,87.86,6.13,246.82,Rice
112,57,52,29.54,86.46,6.11,242.9,Rice
114,54,50,29.19,90.35,6.09,243.33,Rice
115,55,47,29.22,87.25,6.0,247.13,Rice
112,56,49,29.44,88.98,6.09,250.54,Rice
109,54,50,28.98,88.37,6.08,246.06,Rice
109,60,51,29.56,88.51,6.15,246.71,Rice
112,59,54,29.1,89.06,6.09,249.32,Rice
110,61,51,28.28,88.19,6.03,247.52,Rice
110,57,48,28.77,84.36,5.94,247.28,Rice
113,58,50,28.98,87.99,5.98,249.51,Rice
113,57,52,29.1,84.94,6.08,242.95,Rice
109,57,55,29.32,87.14,6.16,249.2,Rice
113,58,50,29.35,88.59,6.19,246.91,Rice
114,56,54,29.1,91.11,6.03,250.21,Rice
112,56,51,28.84,88.64,6.15,243.28,Rice
111,62,55,29.22,88.06,6.11,246.84,Rice
109,57,48,29.2,88.97,6.05,249.72,Rice
109,55,52,29.52,90.53,6.05,248.24,Rice
111,57,53,29.33,85.64,6.25,249.14,Rice
94,52,44,26.13,71.17,6.33,117.92,Maize
98,53,43,26.39,67.73,6.51,112.78,Maize
95,49,41,26.58,71.3,6.43,117.86,Maize
96,52,41,26.5,71.26,6.24,116.72,Maize
99,53,43,25.83,71.52,6.61,119.15,Maize
96,54,44,25.87,71.71,6.39,117.89,Maize
97,52,45,25.96,72.12,6.2,120.75,Maize
96,53,38,27.04,71.79,6.51,114.88,Maize
97,49,42,26.96,71.71,6.42,120.61,Maize
96,52,44,27.2,71.91,6.42,121.15,Maize
98,54,45,25.43,74.45,6.29,118.91,Maize
94,51,44,26.16,72.63,6.56,119.36,Maize
95,53,46,25.39,72.9,6.47,117.11,Maize
98,51,44,25.91,72.02,6.29,113.68,Maize
99,50,42,24.92,71.04,6.27,122.93,Maize
98,50,48,26.49,71.51,6.15,124.87,Maize
93,48,46,27.22,74.08,6.46,119.78,Maize
97,53,44,26.05,71.91,6.32,117.16,Maize
92,51,42,25.45,72.27,6.54,120.75,Maize
92,50,45,25.51,71.66,6.46,115.09,Maize
96,49,42,26.16,69.61,6.44,117.94,Maize
97,52,46,26.06,71.36,6.41,119.63,Maize
96,52,42,25.67,69.9,6.57,114.27,Maize
94,50,45,25.85,73.87,6.33,118.84,Maize
94,56,41,26.15,72.95,6.44,117.44,Maize
95,52,43,26.48,75.32,6.34,113.89,Maize
95,57,42,26.82,74.52,6.34,119.71,Maize
99,51,43,25.71,70.48,6.34,114.33,Maize
96,50,44,25.22,72.5,6.48,112.02,Maize
96,54,41,26.84,72.63,6.33,117.83,Maize
97,52,45,25.54,72.25,6.26,117.67,Maize
94,50,46,26.55,72.91,6.29,117.05,Maize
98,52,48,26.2,72.29,6.37,118.4,Maize
95,53,45,25.61,70.0,6.22,119.52,Maize
93,47,44,27.25,71.99,6.48,118.25,Maize
95,53,43,26.13,72.48,6.33,120.98,Maize
95,50,45,25.55,72.04,6.4,121.26,Maize
96,51,45,26.7,72.84,6.4,114.06,Maize
93,51,42,25.91,72.08,6.45,117.79,Maize
96,52,40,25.53,71.78,6.28,119.8,Maize
99,54,43,26.75,72.22,6.37,116.16,Maize
95,51,44,26.08,72.0,6.44,121.57,Maize
97,49,38,26.47,69.95,6.38,114.49,Maize
92,53,45,25.71,68.11,6.35,119.18,Maize
93,52,43,26.29,72.18,6.3,121.59,Maize
95,51,42,25.78,70.67,6.38,123.14,Maize
93,48,46,25.9,71.0,6.5,116.18,Maize
99,53,43,27.08,71.09,6.47,118.9,Maize
98,55,44,25.62,72.69,6.33,124.04,Maize
96,51,44,25.33,70.54,6.52,116.03,Maize
93,53,46,26.36,73.49,6.32,113.73,Maize
99,51,43,26.66,72.83,6.45,124.5,Maize
94,53,44,26.13,74.29,6.45,119.61,Maize
98,51,42,25.48,69.05,6.61,114.69,Maize
95,51,44,26.41,73.29,6.34,117.5,Maize
96,51,47,26.25,73.1,6.47,121.52,Maize
96,49,44,25.67,71.21,6.46,121.71,Maize
96,52,47,26.12,75.9,6.46,112.72,Maize
97,52,46,26.34,71.79,6.28,117.37,Maize
94,50,45,26.83,72.59,6.28,119.33,Maize
98,50,43,26.01,70.82,6.46,117.64,Maize
96,50,43,26.36,71.44,6.57,116.8,Maize
96,53,41,25.12,69.71,6.53,116.34,Maize
101,50,44,26.77,75.01,6.61,121.63,Maize
98,53,45,25.72,70.77,6.4,117.49,Maize
95,53,45,26.04,74.22,6.29,117.42,Maize
94,48,43,25.94,74.27,6.46,114.93,Maize
99,54,45,25.89,70.56,6.36,121.27,Maize
99,55,43,25.44,72.21,6.22,118.97,Maize
95,51,40,26.26,71.2,6.28,109.38,Maize
95,55,47,25.77,71.1,6.45,115.0,Maize
96,53,46,25.95,71.69,6.31,115.52,Maize
95,52,45,25.6,74.24,6.37,117.94,Maize
94,47,45,26.37,71.58,6.41,119.55,Maize
92,50,45,25.37,72.44,6.26,119.4,Maize
95,48,46,25.63,70.78,6.42,121.45,Maize
93,52,44,26.35,72.26,6.36,115.52,Maize
96,49,38,26.22,73.36,6.16,114.97,Maize
97,56,44,25.64,71.73,6.54,116.06,Maize
94,51,42,26.06,74.44,6.43,117.24,Maize
95,48,45,25.96,71.73,6.72,118.9,Maize
94,51,46,26.06,69.84,6.49,116.0,Maize
99,54,43,26.64,72.1,6.49,119.45,Maize
94,50,46,25.83,71.39,6.3,119.27,Maize
100,49,44,26.71,71.88,6.45,114.81,Maize
96,51,45,26.59,75.88,6.46,118.98,Maize
96,51,44,25.85,72.25,6.53,114.98,Maize
98,54,43,24.94,71.09,6.53,117.93,Maize
94,50,45,26.27,71.64,6.36,116.82,Maize
94,55,43,26.61,74.28,6.5,116.71,Maize
96,51,42,26.16,70.23,6.52,116.61,Maize
96,52,43,26.29,71.29,6.49,113.96,Maize
96,55,41,25.66,72.77,6.42,119.05,Maize
96,53,46,26.2,71.64,6.47,123.7,Maize
95,50,46,25.94,68.74,6.48,116.39,Maize
95,52,44,26.35,71.35,6.45,117.22,Maize
97,53,42,26.54,71.2,6.48,119.1,Maize
99,51,43,25.99,71.55,6.48,113.15,Maize
93,49,45,26.86,71.84,6.38,118.21,Maize
98,50,44,26.49,72.75,6.42,121.0,Maize
90,53,42,25.08,72.77,6.54,117.59,Maize
97,55,46,26.82,73.11,6.41,113.19,Maize
95,50,48,25.91,72.18,6.46,118.13,Maize
99,50,44,25.63,70.02,6.34,117.89,Maize
95,50,41,25.96,69.74,6.48,118.25,Maize
93,51,42,26.16,74.01,6.21,118.35,Maize
95,53,44,25.62,71.52,6.32,121.23,Maize
96,55,43,25.65,69.73,6.22,113.25,Maize
96,53,40,26.45,71.28,6.41,122.84,Maize
97,51,42,24.92,70.92,6.38,115.04,Maize
95,52,43,25.67,72.25,6.44,114.73,Maize
98,51,44,26.35,72.35,6.5,118.86,Maize
94,52,41,26.05,71.95,6.38,117.61,Maize
92,50,44,26.08,70.46,6.53,115.4,Maize
97,52,42,26.89,70.21,6.49,121.0,Maize
94,54,43,26.14,72.39,6.39,120.43,Maize
97,48,46,25.17,73.55,6.51,114.73,Maize
95,49,43,25.85,73.17,6.53,122.19,Maize
94,51,40,25.6,73.45,6.56,114.3,Maize
94,51,44,25.6,72.64,6.35,117.96,Maize
97,52,43,25.95,71.87,6.36,117.22,Maize
99,53,43,26.35,71.5,6.52,119.11,Maize
95,52,40,25.44,70.21,6.41,123.2,Maize
100,53,45,25.1,71.19,6.32,116.14,Maize
95,51,40,26.37,70.39,6.42,124.22,Maize
94,46,43,26.55,74.94,6.28,119.49,Maize
95,51,49,25.25,72.38,6.45,121.26,Maize
96,52,43,26.13,71.49,6.46,116.89,Maize
96,51,46,25.97,69.34,6.53,115.28,Maize
94,50,46,24.93,76.71,6.51,118.67,Maize
95,52,45,26.32,72.83,6.41,117.41,Maize
95,51,46,26.3,67.59,6.47,118.58,Maize
95,51,46,26.47,70.84,6.44,115.09,Maize
93,50,45,26.48,72.77,6.47,119.55,Maize
94,52,45,26.38,73.78,6.47,119.05,Maize
98,51,42,25.92,70.88,6.33,117.57,Maize
94,51,40,26.11,72.0,6.32,119.98,Maize
97,48,42,25.62,70.59,6.48,117.42,Maize
95,47,45,25.38,72.09,6.43,122.08,Maize
93,45,44,26.9,73.86,6.42,116.53,Maize
97,50,44,26.25,73.59,6.68,119.18,Maize
94,51,40,25.65,71.39,6.35,118.46,Maize
94,54,44,26.0,71.51,6.42,120.48,Maize
94,50,43,25.33,70.77,6.35,120.62,Maize
96,52,45,25.93,72.59,6.39,118.8,Maize
94,47,43,26.71,73.39,6.5,121.71,Maize
96,52,42,25.84,72.92,6.52,117.58,Maize
95,52,45,25.28,68.56,6.34,114.34,Maize
94,51,43,26.73,72.49,6.43,119.87,Maize
93,54,43,26.34,70.39,6.24,120.45,Maize
48,64,40,22.56,56.22,7.16,69.3,Chickpea
49,65,43,21.73,57.76,7.0,68.99,Chickpea
49,64,41,21.5,54.16,6.98,79.24,Chickpea
49,65,41,22.01,58.82,6.88,75.34,Chickpea
49,67,42,22.01,59.01,7.06,70.94,Chickpea
46,66,45,21.38,55.8,7.02,72.15,Chickpea
48,66,41,22.74,55.6,6.92,71.69,Chickpea
44,65,45,22.01,58.35,6.87,70.15,Chickpea
47,65,44,22.28,56.33,7.02,73.49,Chickpea
50,69,39,21.59,56.11,6.98,73.4,Chickpea
49,65,41,22.08,56.75,7.21,67.18,Chickpea
48,70,42,21.9,57.46,6.98,76.12,Chickpea
43,69,39,21.87,57.36,7.06,67.21,Chickpea
48,70,39,22.09,57.01,7.04,72.06,Chickpea
46,66,45,21.9,59.08,6.87,69.13,Chickpea
48,68,42,21.84,58.0,6.87,73.81,Chickpea
49,65,41,22.13,57.34,6.99,78.3,Chickpea
47,65,40,22.37,57.73,6.94,75.96,Chickpea
50,64,38,22.5,56.97,7.08,66.09,Chickpea
49,63,43,22.01,56.57,6.96,74.06,Chickpea
48,67,45,21.22,60.43,7.01,69.3,Chickpea
45,65,43,21.94,60.27,6.85,71.96,Chickpea
45,66,43,21.79,54.09,7.02,73.31,Chickpea
48,68,39,22.34,59.79,6.82,72.96,Chickpea
46,65,42,21.76,56.99,7.0,68.74,Chickpea
45,67,39,22.33,58.69,6.83,69.97,Chickpea
50,64,41,22.23,59.18,6.97,70.21,Chickpea
50,69,43,22.04,56.79,6.92,73.57,Chickpea
48,68,43,21.25,59.58,6.9,70.85,Chickpea
48,69,48,22.3,57.73,7.05,74.66,Chickpea
47,69,42,22.25,59.0,7.04,74.52,Chickpea
46,64,39,22.22,59.17,7.05,77.02,Chickpea
47,67,39,21.81,59.04,7.08,71.12,Chickpea
47,62,41,22.45,58.86,7.05,72.15,Chickpea
48,64,43,22.21,58.74,6.95,65.54,Chickpea
50,65,40,22.35,57.41,7.11,73.85,Chickpea
49,63,44,22.13,57.45,7.01,66.67,Chickpea
48,63,39,21.24,59.67,6.94,76.6,Chickpea
46,62,39,22.62,57.77,6.95,72.48,Chickpea
49,68,44,21.82,56.01,6.96,72.78,Chickpea
46,64,42,21.98,58.05,6.92,71.31,Chickpea
46,67,44,21.08,56.61,6.85,70.05,Chickpea
47,63,40,21.5,58.31,7.01,69.83,Chickpea
48,64,41,22.84,60.01,6.87,74.49,Chickpea
49,63,43,22.77,56.32,6.91,75.05,Chickpea
48,67,42,22.2,56.01,7.1,75.51,Chickpea
47,65,38,22.26,58.86,6.99,75.37,Chickpea
47,67,39,21.99,57.74,7.02,70.89,Chickpea
47,67,41,21.2,60.62,7.14,68.12,Chickpea
49,64,42,22.15,57.65,6.92,69.93,Chickpea
46,64,41,21.64,59.02,7.15,70.26,Chickpea
48,66,42,22.04,59.11,7.05,68.29,Chickpea
49,67,40,22.02,59.02,6.98,75.22,Chickpea
52,64,39,22.15,59.08,6.98,76.36,Chickpea
45,67,40,22.86,60.99,6.92,70.35,Chickpea
49,65,41,22.01,55.12,7.0,69.93,Chickpea
47,68,39,22.41,57.58,6.97,74.37,Chickpea
48,67,43,21.83,57.08,6.89,69.52,Chickpea
53,68,39,21.34,58.72,7.05,73.65,Chickpea
47,65,42,22.04,54.67,6.98,69.45,Chickpea
48,71,42,21.84,59.38,7.05,73.26,Chickpea
49,70,39,22.24,56.61,7.06,69.24,Chickpea
47,65,43,22.46,56.13,7.01,69.87,Chickpea
45,65,41,23.21,58.65,6.86,70.31,Chickpea
50,70,38,21.06,60.81,7.04,69.4,Chickpea
49,60,42,22.16,59.39,6.9,72.26,Chickpea
46,66,40,21.8,56.51,7.07,74.58,Chickpea
47,66,39,21.85,57.92,7.26,68.66,Chickpea
50,67,42,22.88,58.56,7.04,71.84,Chickpea
50,68,40,21.34,57.7,6.92,71.81,Chickpea
50,65,41,22.03,59.27,6.78,70.18,Chickpea
48,68,41,21.06,58.93,6.94,68.43,Chickpea
46,65,40,20.9,59.35,7.13,73.95,Chickpea
45,65,41,22.3,59.0,6.93,72.25,Chickpea
48,68,43,22.39,58.13,7.14,73.23,Chickpea
46,68,43,21.78,57.28,7.03,73.39,Chickpea
48,66,45,22.54,58.29,7.09,68.9,Chickpea
48,69,41,21.58,57.02,6.89,69.65,Chickpea
47,63,42,22.45,56.64,7.15,73.53,Chickpea
50,64,43,21.45,59.34,7.02,73.66,Chickpea
45,64,43,21.53,58.69,6.86,74.54,Chickpea
45,67,43,21.65,58.87,7.03,70.38,Chickpea
45,62,42,21.22,58.14,6.97,74.04,Chickpea
47,65,43,22.17,58.47,7.05,67.39,Chickpea
49,67,39,21.88,57.94,6.99,73.0,Chickpea
50,68,39,22.31,59.99,7.04,75.27,Chickpea
52,68,42,22.52,58.22,7.0,70.95,Chickpea
51,64,45,22.25,55.9,7.04,65.7,Chickpea
49,67,40,22.06,60.93,6.95,68.82,Chickpea
50,69,42,22.51,60.01,6.93,70.54,Chickpea
50,69,43,21.56,60.98,6.95,70.99,Chickpea
48,69,43,22.21,58.69,7.0,73.67,Chickpea
42,65,42,21.42,58.58,6.98,77.27,Chickpea
51,65,41,21.96,57.32,7.02,69.73,Chickpea
45,67,43,21.6,59.34,6.94,72.76,Chickpea
49,65,42,21.74,57.71,6.98,69.76,Chickpea
47,62,41,21.86,57.62,6.98,71.81,Chickpea
48,67,40,21.4,56.44,6.95,70.94,Chickpea
46,63,41,22.09,58.89,6.94,70.76,Chickpea
46,65,40,22.29,55.32,6.96,72.9,Chickpea
48,71,42,21.5,57.86,6.82,71.76,Chickpea
46,67,40,21.94,57.05,7.17,71.04,Chickpea
51,67,42,22.18,58.59,6.81,71.16,Chickpea
49,65,39,21.97,60.56,7.12,71.81,Chickpea
49,65,38,21.54,60.34,6.97,71.27,Chickpea
47,69,45,23.11,57.76,7.03,67.45,Chickpea
50,63,42,21.45,57.12,6.92,70.18,Chickpea
46,64,43,21.45,58.33,7.12,70.46,Chickpea
46,65,44,22.1,57.2,7.05,68.69,Chickpea
49,66,41,21.58,56.67,7.05,75.69,Chickpea
46,66,37,21.71,57.95,6.91,69.19,Chickpea
46,66,41,20.88,54.82,6.94,73.37,Chickpea
42,65,40,22.69,57.42,7.04,72.42,Chickpea
43,67,42,22.25,63.89,6.79,77.17,Chickpea
47,66,41,21.79,57.15,7.03,67.45,Chickpea
49,65,39,21.77,59.89,6.95,73.08,Chickpea
46,67,43,22.92,57.74,7.07,72.29,Chickpea
50,64,43,21.9,57.9,7.01,72.76,Chickpea
47,66,45,22.49,59.3,6.95,69.33,Chickpea
49,67,44,21.7,57.66,6.84,70.82,Chickpea
49,65,43,21.9,58.49,6.89,72.26,Chickpea
42,65,38,22.6,59.17,7.05,76.56,Chickpea
46,69,43,21.88,59.7,6.89,69.53,Chickpea
46,64,39,22.61,57.61,7.04,70.29,Chickpea
44,66,38,21.97,55.95,7.2,74.73,Chickpea
48,68,40,22.27,58.3,7.03,75.82,Chickpea
49,66,38,21.52,57.82,7.01,68.61,Chickpea
52,69,43,22.04,57.68,6.9,72.23,Chickpea
48,63,42,21.92,55.14,6.91,70.76,Chickpea
51,67,39,22.24,55.68,7.11,70.59,Chickpea
47,68,39,21.3,57.12,7.1,67.44,Chickpea
42,65,43,22.6,57.31,6.96,75.46,Chickpea
44,65,42,22.22,57.24,7.0,64.54,Chickpea
46,66,40,22.03,58.67,6.97,72.51,Chickpea
46,65,43,22.08,57.12,7.02,74.14,Chickpea
43,68,41,22.21,59.8,6.86,69.87,Chickpea
47,64,45,21.57,57.17,7.02,68.39,Chickpea
47,66,41,21.95,57.21,6.85,72.96,Chickpea
51,66,42,22.35,56.1,7.17,72.61,Chickpea
51,64,45,22.39,58.83,7.02,71.25,Chickpea
50,66,38,21.44,57.72,7.03,71.83,Chickpea
50,62,42,21.09,59.14,6.99,73.26,Chickpea
46,68,44,22.29,57.81,7.06,69.88,Chickpea
49,69,44,21.64,58.54,6.87,73.72,Chickpea
48,62,39,21.86,57.55,6.88,73.17,Chickpea
48,65,40,22.52,60.48,6.95,70.16,Chickpea
48,65,41,22.37,55.14,7.13,72.22,Chickpea
47,65,41,21.13,60.24,7.0,73.33,Chickpea
49,63,42,21.87,59.27,6.79,71.7,Chickpea
46,66,42,21.65,56.93,6.99,69.31,Chickpea
39,57,26,20.81,62.44,6.14,104.29,Kidneybeans
38,60,32,20.7,64.68,6.25,105.92,Kidneybeans
35,54,31,21.08,63.86,6.26,105.16,Kidneybeans
39,55,33,20.5,62.87,6.15,106.5,Kidneybeans
39,59,33,21.26,62.34,6.27,105.66,Kidneybeans
40,55,33,21.45,66.74,6.26,110.14,Kidneybeans
42,56,28,20.06,65.07,6.11,106.88,Kidneybeans
38,58,32,21.11,65.92,6.2,105.97,Kidneybeans
36,59,33,21.23,65.78,6.18,113.0,Kidneybeans
41,59,35,20.17,63.21,6.23,110.16,Kidneybeans
35,59,34,21.35,64.43,6.2,105.46,Kidneybeans
40,59,31,20.79,60.96,6.19,113.73,Kidneybeans
35,58,34,20.37,64.28,6.39,108.04,Kidneybeans
43,54,34,20.91,65.16,6.34,105.8,Kidneybeans
38,54,33,21.15,64.96,6.41,109.1,Kidneybeans
38,56,30,21.59,66.15,6.28,108.14,Kidneybeans
36,60,33,21.97,62.68,6.26,108.69,Kidneybeans
39,57,30,21.44,65.08,6.21,112.07,Kidneybeans
40,58,32,21.28,62.71,6.3,101.54,Kidneybeans
39,54,35,20.83,63.68,6.24,107.14,Kidneybeans
40,53,34,21.17,62.19,6.19,113.03,Kidneybeans
36,55,34,21.17,62.59,6.32,104.92,Kidneybeans
40,60,33,21.18,66.64,6.3,104.45,Kidneybeans
38,62,29,20.82,64.62,6.29,105.05,Kidneybeans
40,62,32,20.55,61.68,6.33,111.31,Kidneybeans
38,57,30,20.45,65.25,6.39,103.36,Kidneybeans
41,59,34,20.33,61.95,6.29,109.51,Kidneybeans
41,59,31,20.49,65.85,6.2,112.89,Kidneybeans
37,61,33,20.93,63.22,6.27,109.28,Kidneybeans
38,56,31,21.04,60.81,6.35,105.06,Kidneybeans
35,54,28,20.32,62.94,6.5,106.42,Kidneybeans
38,58,32,20.96,62.21,6.45,113.42,Kidneybeans
34,55,31,20.52,64.76,6.23,114.5,Kidneybeans
40,58,34,21.55,63.15,6.22,108.23,Kidneybeans
39,58,28,20.6,63.89,6.29,113.92,Kidneybeans
35,59,34,22.14,63.39,6.35,109.71,Kidneybeans
38,57,32,19.73,65.02,6.31,107.33,Kidneybeans
42,56,31,22.0,62.75,6.24,107.56,Kidneybeans
39,58,29,20.73,63.09,6.29,109.28,Kidneybeans
38,54,34,21.13,66.08,6.34,111.3,Kidneybeans
38,60,33,20.95,67.41,6.39,109.72,Kidneybeans
35,55,32,21.07,63.08,6.31,112.77,Kidneybeans
39,55,31,20.6,63.42,6.26,106.57,Kidneybeans
35,57,30,19.54,67.08,6.41,106.87,Kidneybeans
38,55,35,21.95,64.24,6.4,108.53,Kidneybeans
35,57,32,20.77,63.67,6.29,107.76,Kidneybeans
38,55,30,20.36,65.47,6.09,111.46,Kidneybeans
40,57,26,20.82,63.9,6.2,106.45,Kidneybeans
41,59,30,20.2,63.51,6.28,109.49,Kidneybeans
36,59,35,21.41,63.93,6.28,106.93,Kidneybeans
40,56,32,21.03,63.25,6.16,108.97,Kidneybeans
37,59,30,21.61,62.68,6.47,102.76,Kidneybeans
38,58,30,21.21,65.92,6.08,109.51,Kidneybeans
33,56,35,20.71,62.24,6.28,114.2,Kidneybeans
34,55,34,21.93,63.84,6.18,114.29,Kidneybeans
41,59,30,20.98,63.76,6.33,112.35,Kidneybeans
39,55,34,21.16,65.03,6.45,104.67,Kidneybeans
37,56,28,21.17,67.77,6.12,107.9,Kidneybeans
39,58,31,20.35,64.35,6.22,101.43,Kidneybeans
40,59,32,21.11,65.61,6.32,110.71,Kidneybeans
37,60,32,21.1,62.09,6.33,105.5,Kidneybeans
36,56,29,22.06,66.0,6.49,104.33,Kidneybeans
38,55,30,20.54,65.86,6.26,111.21,Kidneybeans
39,62,29,21.63,65.72,6.2,111.02,Kidneybeans
38,57,30,20.64,67.07,6.3,110.35,Kidneybeans
